Attempted load Fri, 17 Sep 2010 12:42:45 -0400
Attempted load Fri, 17 Sep 2010 12:48:05 -0400
Attempted load Sun, 19 Sep 2010 16:12:10 -0400
Attempted load Mon, 20 Sep 2010 09:21:31 -0400
Attempted load Mon, 20 Sep 2010 10:00:02 -0400
Attempted load Mon, 20 Sep 2010 11:00:02 -0400
Attempted load Mon, 20 Sep 2010 12:00:02 -0400
Attempted load Mon, 20 Sep 2010 13:00:02 -0400
Attempted load Mon, 20 Sep 2010 14:00:03 -0400
Attempted load Mon, 20 Sep 2010 15:00:04 -0400
Attempted load Mon, 20 Sep 2010 16:00:01 -0400
Attempted load Mon, 20 Sep 2010 17:00:02 -0400
Attempted load Mon, 20 Sep 2010 18:00:02 -0400
Attempted load Mon, 20 Sep 2010 19:00:01 -0400
Attempted load Mon, 20 Sep 2010 20:00:03 -0400
Attempted load Mon, 20 Sep 2010 21:00:02 -0400
Attempted load Mon, 20 Sep 2010 22:00:03 -0400
Attempted load Mon, 20 Sep 2010 23:00:02 -0400
Attempted load Tue, 21 Sep 2010 00:00:02 -0400
Attempted load Tue, 21 Sep 2010 01:00:02 -0400
Attempted load Tue, 21 Sep 2010 02:00:02 -0400
Attempted load Tue, 21 Sep 2010 03:00:02 -0400
Attempted load Tue, 21 Sep 2010 04:00:01 -0400
Attempted load Tue, 21 Sep 2010 05:00:03 -0400
Attempted load Tue, 21 Sep 2010 06:00:02 -0400
Attempted load Tue, 21 Sep 2010 07:00:02 -0400
Attempted load Tue, 21 Sep 2010 08:00:02 -0400
Attempted load Tue, 21 Sep 2010 09:00:03 -0400
Attempted load Tue, 21 Sep 2010 10:00:03 -0400
Attempted load Tue, 21 Sep 2010 11:00:03 -0400
Attempted load Tue, 21 Sep 2010 12:00:03 -0400
Attempted load Tue, 21 Sep 2010 13:00:03 -0400
Attempted load Tue, 21 Sep 2010 14:00:02 -0400
Attempted load Tue, 21 Sep 2010 15:00:02 -0400
Attempted load Tue, 21 Sep 2010 16:00:03 -0400
Attempted load Tue, 21 Sep 2010 17:00:02 -0400
Attempted load Tue, 21 Sep 2010 18:00:02 -0400
Attempted load Tue, 21 Sep 2010 19:00:02 -0400
Attempted load Tue, 21 Sep 2010 20:00:03 -0400
Attempted load Tue, 21 Sep 2010 21:00:02 -0400
Attempted load Tue, 21 Sep 2010 22:00:02 -0400
Attempted load Wed, 22 Sep 2010 00:00:02 -0400
Attempted load Wed, 22 Sep 2010 01:00:02 -0400
Attempted load Wed, 22 Sep 2010 02:00:01 -0400
Attempted load Wed, 22 Sep 2010 03:00:02 -0400
Attempted load Wed, 22 Sep 2010 04:00:03 -0400
Attempted load Wed, 22 Sep 2010 05:00:02 -0400
Attempted load Wed, 22 Sep 2010 06:00:02 -0400
Attempted load Wed, 22 Sep 2010 07:00:03 -0400
Attempted load Wed, 22 Sep 2010 08:00:04 -0400
Attempted load Wed, 22 Sep 2010 09:00:02 -0400
Attempted load Wed, 22 Sep 2010 10:00:03 -0400
Attempted load Wed, 22 Sep 2010 11:00:04 -0400
Attempted load Wed, 22 Sep 2010 12:00:03 -0400
Attempted load Wed, 22 Sep 2010 13:00:02 -0400
Attempted load Wed, 22 Sep 2010 14:00:02 -0400
Attempted load Wed, 22 Sep 2010 15:00:02 -0400
Attempted load Wed, 22 Sep 2010 16:00:03 -0400
Attempted load Wed, 22 Sep 2010 17:00:02 -0400
Attempted load Wed, 22 Sep 2010 18:00:01 -0400
Attempted load Wed, 22 Sep 2010 19:00:02 -0400
Attempted load Wed, 22 Sep 2010 20:00:04 -0400
Attempted load Wed, 22 Sep 2010 21:00:03 -0400
Attempted load Wed, 22 Sep 2010 22:00:02 -0400
Attempted load Wed, 22 Sep 2010 23:13:01 -0400
Attempted load Thu, 23 Sep 2010 00:00:08 -0400
Attempted load Thu, 23 Sep 2010 01:00:02 -0400
Attempted load Thu, 23 Sep 2010 02:00:03 -0400
Attempted load Thu, 23 Sep 2010 03:00:03 -0400
Attempted load Thu, 23 Sep 2010 04:00:02 -0400
Attempted load Thu, 23 Sep 2010 05:00:03 -0400
Attempted load Thu, 23 Sep 2010 06:00:02 -0400
Attempted load Thu, 23 Sep 2010 07:00:03 -0400
Attempted load Thu, 23 Sep 2010 08:00:04 -0400
Attempted load Thu, 23 Sep 2010 09:00:02 -0400
Attempted load Thu, 23 Sep 2010 10:00:04 -0400
Attempted load Thu, 23 Sep 2010 11:00:04 -0400
Attempted load Thu, 23 Sep 2010 12:00:04 -0400
Attempted load Thu, 23 Sep 2010 13:00:03 -0400
Attempted load Thu, 23 Sep 2010 14:00:06 -0400
Attempted load Thu, 23 Sep 2010 15:00:02 -0400
Attempted load Thu, 23 Sep 2010 16:00:02 -0400
Attempted load Thu, 23 Sep 2010 17:00:02 -0400
Attempted load Thu, 23 Sep 2010 18:00:03 -0400
Attempted load Thu, 23 Sep 2010 19:00:03 -0400
Attempted load Thu, 23 Sep 2010 20:00:03 -0400
Attempted load Thu, 23 Sep 2010 21:00:02 -0400
Attempted load Thu, 23 Sep 2010 22:00:02 -0400
Attempted load Thu, 23 Sep 2010 23:00:03 -0400
Attempted load Fri, 24 Sep 2010 00:00:03 -0400
Attempted load Fri, 24 Sep 2010 01:00:05 -0400
Attempted load Fri, 24 Sep 2010 02:00:03 -0400
Attempted load Fri, 24 Sep 2010 03:00:03 -0400
Attempted load Fri, 24 Sep 2010 04:00:02 -0400
Attempted load Fri, 24 Sep 2010 05:00:03 -0400
Attempted load Fri, 24 Sep 2010 06:00:03 -0400
Attempted load Fri, 24 Sep 2010 07:00:02 -0400
Attempted load Fri, 24 Sep 2010 08:00:02 -0400
Attempted load Fri, 24 Sep 2010 09:00:02 -0400
Attempted load Fri, 24 Sep 2010 10:00:02 -0400
Attempted load Fri, 24 Sep 2010 11:00:02 -0400
Attempted load Fri, 24 Sep 2010 12:00:03 -0400
Attempted load Fri, 24 Sep 2010 13:00:03 -0400
Attempted load Fri, 24 Sep 2010 14:00:03 -0400
Attempted load Fri, 24 Sep 2010 15:00:02 -0400
Attempted load Fri, 24 Sep 2010 16:00:03 -0400
Attempted load Fri, 24 Sep 2010 17:00:03 -0400
Attempted load Fri, 24 Sep 2010 18:00:02 -0400
Attempted load Fri, 24 Sep 2010 19:00:02 -0400
Attempted load Fri, 24 Sep 2010 20:00:04 -0400
Attempted load Fri, 24 Sep 2010 21:00:02 -0400
Attempted load Fri, 24 Sep 2010 22:00:03 -0400
Attempted load Fri, 24 Sep 2010 23:00:03 -0400
Attempted load Sat, 25 Sep 2010 00:00:03 -0400
Attempted load Sat, 25 Sep 2010 01:00:02 -0400
Attempted load Sat, 25 Sep 2010 02:00:02 -0400
Attempted load Sat, 25 Sep 2010 03:00:03 -0400
Attempted load Sat, 25 Sep 2010 04:00:02 -0400
Attempted load Sat, 25 Sep 2010 05:00:03 -0400
Attempted load Sat, 25 Sep 2010 06:00:02 -0400
Attempted load Sat, 25 Sep 2010 07:00:02 -0400
Attempted load Sat, 25 Sep 2010 08:00:02 -0400
Attempted load Sat, 25 Sep 2010 09:00:02 -0400
Attempted load Sat, 25 Sep 2010 10:00:03 -0400
Attempted load Sat, 25 Sep 2010 11:00:03 -0400
Attempted load Sat, 25 Sep 2010 12:00:02 -0400
Attempted load Sat, 25 Sep 2010 13:00:02 -0400
Attempted load Sat, 25 Sep 2010 14:00:03 -0400
Attempted load Sat, 25 Sep 2010 15:00:01 -0400
Attempted load Sat, 25 Sep 2010 16:00:02 -0400
Attempted load Sat, 25 Sep 2010 17:00:01 -0400
Attempted load Sat, 25 Sep 2010 18:00:03 -0400
Attempted load Sat, 25 Sep 2010 19:00:02 -0400
Attempted load Sat, 25 Sep 2010 20:00:03 -0400
Attempted load Sat, 25 Sep 2010 21:00:05 -0400
Attempted load Sat, 25 Sep 2010 22:00:03 -0400
Attempted load Sat, 25 Sep 2010 23:00:02 -0400
Attempted load Sun, 26 Sep 2010 00:00:02 -0400
Attempted load Sun, 26 Sep 2010 01:00:02 -0400
Attempted load Sun, 26 Sep 2010 02:00:03 -0400
Attempted load Sun, 26 Sep 2010 03:00:03 -0400
Attempted load Sun, 26 Sep 2010 04:00:04 -0400
Attempted load Sun, 26 Sep 2010 05:00:04 -0400
Attempted load Sun, 26 Sep 2010 06:00:02 -0400
Attempted load Sun, 26 Sep 2010 07:00:03 -0400
Attempted load Sun, 26 Sep 2010 08:00:05 -0400
Attempted load Sun, 26 Sep 2010 09:00:11 -0400
Attempted load Sun, 26 Sep 2010 10:00:02 -0400
Attempted load Sun, 26 Sep 2010 11:00:02 -0400
Attempted load Sun, 26 Sep 2010 12:00:03 -0400
Attempted load Sun, 26 Sep 2010 13:00:02 -0400
Attempted load Sun, 26 Sep 2010 14:00:03 -0400
Attempted load Sun, 26 Sep 2010 15:00:03 -0400
Attempted load Sun, 26 Sep 2010 16:00:02 -0400
Attempted load Sun, 26 Sep 2010 17:00:02 -0400
Attempted load Sun, 26 Sep 2010 18:00:03 -0400
Attempted load Sun, 26 Sep 2010 19:00:02 -0400
Attempted load Sun, 26 Sep 2010 20:00:02 -0400
Attempted load Sun, 26 Sep 2010 21:00:03 -0400
Attempted load Sun, 26 Sep 2010 22:00:03 -0400
Attempted load Sun, 26 Sep 2010 23:00:01 -0400
Attempted load Mon, 27 Sep 2010 00:00:03 -0400
Attempted load Mon, 27 Sep 2010 01:00:03 -0400
Attempted load Mon, 27 Sep 2010 02:00:03 -0400
Attempted load Mon, 27 Sep 2010 03:00:02 -0400
Attempted load Mon, 27 Sep 2010 04:00:04 -0400
Attempted load Mon, 27 Sep 2010 05:00:03 -0400
Attempted load Mon, 27 Sep 2010 06:00:02 -0400
Attempted load Mon, 27 Sep 2010 07:00:03 -0400
Attempted load Mon, 27 Sep 2010 08:00:03 -0400
Attempted load Mon, 27 Sep 2010 09:00:02 -0400
Attempted load Mon, 27 Sep 2010 10:00:03 -0400
Attempted load Mon, 27 Sep 2010 11:00:03 -0400
Attempted load Mon, 27 Sep 2010 12:00:02 -0400
Attempted load Mon, 27 Sep 2010 13:00:02 -0400
Attempted load Mon, 27 Sep 2010 14:00:04 -0400
Attempted load Mon, 27 Sep 2010 15:00:05 -0400
Attempted load Mon, 27 Sep 2010 16:00:04 -0400
Attempted load Mon, 27 Sep 2010 17:00:03 -0400
Attempted load Mon, 27 Sep 2010 18:00:03 -0400
Attempted load Mon, 27 Sep 2010 19:00:03 -0400
Attempted load Mon, 27 Sep 2010 20:00:02 -0400
Attempted load Mon, 27 Sep 2010 21:00:03 -0400
Attempted load Mon, 27 Sep 2010 22:00:02 -0400
Attempted load Mon, 27 Sep 2010 23:00:03 -0400
Attempted load Tue, 28 Sep 2010 00:00:02 -0400
Attempted load Tue, 28 Sep 2010 01:00:02 -0400
Attempted load Tue, 28 Sep 2010 02:00:02 -0400
Attempted load Tue, 28 Sep 2010 03:00:02 -0400
Attempted load Tue, 28 Sep 2010 04:00:02 -0400
Attempted load Tue, 28 Sep 2010 05:00:04 -0400
Attempted load Tue, 28 Sep 2010 06:00:03 -0400
Attempted load Tue, 28 Sep 2010 07:00:04 -0400
Attempted load Tue, 28 Sep 2010 08:00:01 -0400
Attempted load Tue, 28 Sep 2010 09:00:02 -0400
Attempted load Tue, 28 Sep 2010 10:00:03 -0400
Attempted load Tue, 28 Sep 2010 11:00:03 -0400
Attempted load Tue, 28 Sep 2010 12:00:04 -0400
Attempted load Tue, 28 Sep 2010 13:00:05 -0400
Attempted load Tue, 28 Sep 2010 14:00:04 -0400
Attempted load Tue, 28 Sep 2010 15:00:02 -0400
Attempted load Tue, 28 Sep 2010 16:00:02 -0400
Attempted load Tue, 28 Sep 2010 17:00:03 -0400
Attempted load Tue, 28 Sep 2010 18:00:02 -0400
Attempted load Tue, 28 Sep 2010 19:00:03 -0400
Attempted load Tue, 28 Sep 2010 20:00:02 -0400
Attempted load Tue, 28 Sep 2010 21:00:02 -0400
Attempted load Tue, 28 Sep 2010 22:00:03 -0400
Attempted load Tue, 28 Sep 2010 23:00:02 -0400
Attempted load Wed, 29 Sep 2010 00:00:03 -0400
Attempted load Wed, 29 Sep 2010 01:00:02 -0400
Attempted load Wed, 29 Sep 2010 02:00:02 -0400
Attempted load Wed, 29 Sep 2010 03:00:02 -0400
Attempted load Wed, 29 Sep 2010 04:00:04 -0400
Attempted load Wed, 29 Sep 2010 05:00:03 -0400
Attempted load Wed, 29 Sep 2010 06:00:03 -0400
Attempted load Wed, 29 Sep 2010 07:00:04 -0400
Attempted load Wed, 29 Sep 2010 09:00:02 -0400
Attempted load Wed, 29 Sep 2010 10:00:03 -0400
Attempted load Wed, 29 Sep 2010 11:00:01 -0400
Attempted load Wed, 29 Sep 2010 12:00:03 -0400
Attempted load Wed, 29 Sep 2010 13:00:02 -0400
Attempted load Wed, 29 Sep 2010 14:00:01 -0400
Attempted load Wed, 29 Sep 2010 15:00:02 -0400
Attempted load Wed, 29 Sep 2010 16:00:02 -0400
Attempted load Wed, 29 Sep 2010 17:00:02 -0400
Attempted load Wed, 29 Sep 2010 18:00:03 -0400
Attempted load Wed, 29 Sep 2010 19:00:02 -0400
